uniprotswissprot	entrezgene_id
P29972	358
P30041	9588
P30043	645
P30049	513
P30085	51727
P30086	5037
P30101	2923
P30405	10105
P30411	624
P30518	554
P30531	6529
P30532	1138
P30536	706
P30542	134
P30556	185
P30559	5021
P30626	6717
P30872	6751
P30874	6752
P30926	1143
P30939	3355
P30968	2798
P31025	3933
P31040	6389
P31151	6278
P31152	5596
P31213	6716
P31260	3206
P31350	6241
P31391	6754
P31415	844
P31639	6524
P31644	2558
P31645	6532
P31749	207
P31939	471
P31942	3189
P31943	3187
P31946	7529
P31948	10963
P32004	3897
P32119	7001
P32297	1136
P32418	6546
P32745	6753
P33151	1003
P33261	1557
P33402	2977
P33527	4363
P34903	2556
P34969	3363
P34972	1269
P34995	5731
P34998	1394
P35218	763
P35219	767
P35228	4843
P35346	6755
P35348	148
P35354	5743
P35367	3269
P35368	147
P35372	4988
P35408	5734
P35462	1814
P35498	6323
P35499	6329
P35527	3857
P35556	2201
P35610	6646
P35858	3483
P35869	196
P35908	3849
P35913	5158
P35916	2324
P35968	3791
P36507	5605
P36543	529
P36544	1139
P36888	2322
P36955	5176
P36956	6720
P37088	6337
P37231	5468
P37288	552
P37840	6622
P38435	2677
P38606	523
P38936	1026
P39023	6122
P39086	2897
P39748	2237
P39900	4321
P40238	4352
P40261	4837
P40306	5699
P40926	4191
P40933	3600
P41143	4985
P41145	4986
P41146	4987
P41180	846
P41222	5730
P41231	5029
P41240	1445
P41439	2352
P41594	2915
P41595	3357
P41743	5584
P42261	2890
P42262	2891
P42263	2892
P42330	8644
P42336	5290
P42338	5291
P42345	2475
P42574	836
P42684	27
P42685	2444
P42858	3064
P42898	4524
P43003	6507
P43004	6506
P43005	6505
P43088	5737
P43115	5733
P43116	5732
P43119	5739
P43155	1384
P43166	766
P43220	2740
P43487	5902
P43652	173
P43657	10161
P43681	1137
P45954	36
P45973	23468
P45983	5599
P45984	5601
P46059	6564
P46098	3359
P46597	438
P46663	623
P47712	5321
P47775	2835
P47869	2555
P47870	2561
P47895	220
P47898	3361
P47900	5028
P47901	553
P47989	7498
P48039	4543
P48048	3758
P48050	3761
P48051	3763
P48058	2893
P48167	2743
P48169	2557
P48443	6258
P48506	2729
P48507	2730
P48544	3762
P48547	3746
P48549	3760
P48551	3455
P48637	2937
P48664	6511
P48723	6782
P48735	3418
P49019	8843
P49069	819
P49146	4887
P49286	4544
P49327	2194
P49448	2747
P49585	5130
P49721	5690
P49788	5918
P49841	2932
P49888	6783
P49915	8833
P49916	3980
P50052	186
P50135	3176
P50213	3419
P50406	3362
P50416	1374
P50453	5272
P50579	10988
P50897	5538
P50993	477
P51160	5146
P51161	2172
P51164	496
P51168	6338
P51170	6340
P51172	6339
P51575	5023
P51580	7172
P51582	5030
P51649	7915
P51681	1234
P51692	6777
P51693	333
P51787	3784
P51788	1181
P51800	1187
P51812	6197
P51843	190
P51857	6718
P51858	3068
P51884	4060
P52209	5226
P52333	3718
P52895	1646
P53667	3984
P53778	6300
P53779	5602
P53805	1827
P53985	6566
P54219	6570
P54284	784
P54289	781
P54577	8565
P54619	5571
P54646	5563
P54687	586
P54710	486
P54750	5136
P54756	2044
P54760	2050
P54886	5832
P55011	6558
P55017	6559
P55055	7376
P55157	4547
P55211	842
P56181	4731
P56282	5427
P56373	5024
P56524	9759
P56537	3692
P56696	9132
P57059	150094
P59768	54331
P60568	3558
P60842	1973
P61024	1163
P61073	7852
P61278	6750
P61421	9114
P61769	567
P62166	23413
P62312	11157
P62508	2104
P62714	5516
P62807	8339
P62937	5478
P62942	2280
P62955	59284
P63000	5879
P63244	10399
P63252	3759
P63261	71
P63316	7134
P67775	5515
P68104	1915
P68366	7277
P68371	10383
P68400	1457
P68871	3043
P69905	3039
P78334	2564
P78348	41
P78508	3766
P78527	5591
P78559	4130
P80303	4925
P80365	3291
P80404	18
P80511	6283
P84077	375
P98066	7130
P98164	4036
P98194	27032
P99999	54205
Q00534	1021
Q00653	4791
Q00975	774
Q01064	5153
Q01118	6332
Q01668	776
Q01718	4158
Q01814	491
Q01959	6531
Q02083	27163
Q02127	1723
Q02156	5581
Q02218	4967
Q02221	1339
Q02641	782
Q02643	2692
Q02750	5604
Q02763	7010
Q02809	5351
Q02818	4924
Q02880	7155
Q03154	95
Q03181	5467
Q03393	5805
Q03721	3749
Q04206	5970
Q04609	2346
Q04759	5588
Q04760	2739
Q04828	1645
Q05209	5782
Q05329	2572
Q05513	5590
Q05586	2902
Q05655	5580
Q05901	1142
Q05932	2356
Q05940	6571
Q06187	695
Q06203	5471
Q06278	316
Q06323	5720
Q06432	786
Q06830	5052
Q07021	708
Q07075	2028
Q07343	5142
Q07699	6324
Q07864	5426
Q07869	5465
Q07955	6426
Q08257	1429
Q08289	783
Q08345	780
Q08493	5143
Q08499	5144
Q08881	3702
Q09428	6833
Q09470	3736
Q0VD83	55911
Q10588	683
Q12791	3778
Q12809	3757
Q12879	2903
Q12882	1806
Q13002	2898
Q13003	2899
Q13131	5562
Q13133	10062
Q13164	5598
Q13224	2904
Q13255	2911
Q13303	8514
Q13315	472
Q13332	5802
Q13370	5140
Q13393	5337
Q13488	10312
Q13509	10381
Q13547	3065
Q13555	818
Q13621	6557
Q13639	3360
Q13698	779
Q13882	5753
Q13936	775
Q13938	828
Q13946	5150
Q13956	5149
Q14003	3748
Q14123	5137
Q14145	9817
Q14181	23649
Q14289	2185
Q14330	2841
Q14432	5139
Q14457	8678
Q14500	3768
Q14524	6331
Q14534	6713
Q14541	3174
Q14542	3177
Q14571	3709
Q14573	3710
Q14643	3708
Q14654	3767
Q14697	23193
Q14721	3745
Q14722	7881
Q14831	2917
Q14833	2914
Q14957	2905
Q14978	9221
Q14994	9970
Q15080	4689
Q15111	5334
Q15125	10682
Q15155	23420
Q15185	10728
Q15238	5673
Q15274	23475
Q15303	2066
Q15391	9934
Q15428	8175
Q15493	9104
Q15596	10499
Q15722	1241
Q15758	6510
Q15759	5600
Q15822	1135
Q15825	8973
Q15842	3764
Q15858	6335
Q15878	777
Q15904	537
Q16099	2900
Q16134	2110
Q16322	3744
Q16348	6565
Q16445	2559
Q16478	2901
Q16515	40
Q16539	1432
Q16558	3779
Q16568	9607
Q16595	2395
Q16620	4915
Q16647	5740
Q16654	5166
Q16659	5597
Q16665	3091
Q16678	1545
Q16720	492
Q16739	7357
Q16790	768
Q16832	4921
Q16850	1595
Q16853	8639
Q16864	9296
Q16873	4056
Q16881	7296
Q32P28	64175
Q4U2R8	9356
Q5JPH6	124454
Q6FHJ7	6424
Q6IA69	55191
Q6MZM0	341208
Q6N063	79676
Q6NS38	121642
Q6NUM9	54884
Q6PIU1	27012
Q6V0L0	340665
Q6W5P4	387129
Q70Z44	200909
Q71U36	7846
Q75N90	84467
Q7L0J3	9900
Q7LG56	50484
Q7RTT9	222962
Q7Z2W7	79054
Q7Z2Z2	79631
Q7Z3S7	93589
Q7Z5B4	79608
Q86T13	161198
Q86U10	374569
Q86UW7	93664
Q86VZ1	286530
Q86W47	27345
Q86YN6	133522
Q8IVH4	166785
Q8IVL5	55214
Q8IVL6	10536
Q8IWT1	6330
Q8IZS8	55799
Q8N0U8	154807
Q8N159	162417
Q8N1C3	2565
Q8N1Q1	377677
Q8N543	55239
Q8N5Z0	51166
Q8N8N7	145482
Q8N8R3	123096
Q8N8Y2	245972
Q8NBN7	112724
Q8NCM2	27133
Q8NER1	7442
Q8NET8	162514
Q8NEY4	245973
Q8NFA2	124056
Q8NFJ5	9052
Q8NG66	79858
Q8NHE4	155066
Q8TAE7	170850
Q8TC12	51109
Q8TCC7	9376
Q8TCG2	55300
Q8TCT1	162466
Q8TCT9	81502
Q8TCU5	116443
Q8TD08	225689
Q8TD30	84706
Q8TD43	54795
Q8TDN1	93107
Q8TDN2	169522
Q8TDS4	338442
Q8TDU6	151306
Q8TET4	2595
Q8WUI4	51564
Q8WWG9	23704
Q8WXA8	170572
Q8WXS5	59283
Q8WY07	84889
Q8WYK2	122953
Q92569	8503
Q92570	8013
Q92731	2100
Q92736	6262
Q92753	6096
Q92769	3066
Q92781	5959
Q92806	3765
Q92887	1244
Q92945	8570
Q92952	3780
Q92953	9312
Q93050	535
Q93086	5026
Q93088	635
Q969G6	55312
Q969P6	116447
Q969S2	252969
Q969S8	83933
Q96A05	90423
Q96DB2	79885
Q96EB6	23411
Q96ER9	79714
Q96FI4	79661
Q96FQ6	140576
Q96G91	5032
Q96KK3	3787
Q96KS0	112398
Q96L12	125972
Q96L42	131096
Q96LB4	127124
Q96LZ3	5535
Q96NR8	145226
Q96PD5	114770
Q96PR1	3747
Q96Q83	221120
Q96RD7	24145
Q96RI1	9971
Q96RJ0	134864
Q96RP8	3743
Q96RQ9	259307
Q96S37	116085
Q96SW2	51185
Q99250	6326
Q99259	2571
Q99437	533
Q99456	3859
Q99497	11315
Q99500	1903
Q99519	4758
Q99527	2852
Q99571	5025
Q99572	5027
Q99584	6284
Q99623	11331
Q99653	11261
Q99677	2846
Q99705	2847
Q99707	4548
Q99712	3772
Q99720	10280
Q99808	2030
Q99828	10519
Q99829	8904
Q99835	6608
Q99928	2567
Q9BPV8	53829
Q9BQ31	3790
Q9BQB6	79001
Q9BTZ2	10901
Q9BXT2	59285
Q9BY32	3704
Q9BY41	55869
Q9BY66	8284
Q9BYF1	59272
Q9GZT9	54583
Q9GZU7	58190
Q9GZZ6	57053
Q9H015	6583
Q9H169	81551
Q9H228	53637
Q9H244	64805
Q9H252	81033
Q9H2M3	23743
Q9H2S1	3781
Q9H2X9	57468
Q9H3M0	3754
Q9H3N8	59340
Q9H3S4	27010
Q9H4B7	81027
Q9H6Z9	112399
Q9H8P0	79644
Q9HAB3	79581
Q9HB21	59338
Q9HB55	64816
Q9HBA0	59341
Q9HBG4	50617
Q9HBH5	57665
Q9HC97	2859
Q9HCR9	50940
Q9NP56	27115
Q9NPA1	27094
Q9NPA2	64386
Q9NPC2	51305
Q9NPD5	28234
Q9NPH2	51477
Q9NR33	56655
Q9NR63	56603
Q9NR82	56479
Q9NR96	54106
Q9NR97	51311
Q9NRF9	54107
Q9NS40	90134
Q9NS85	56934
Q9NSA0	55867
Q9NSA2	3750
Q9NSD9	10056
Q9NVH6	55217
Q9NXA8	23408
Q9NXG6	54681
Q9NY46	6328
Q9NY47	9254
Q9NY56	29991
Q9NY72	55800
Q9NYK1	51284
Q9NYL2	51776
Q9NYR8	50700
Q9NYV7	50833
Q9NYX4	50632
Q9NZD4	51327
Q9NZK7	30814
Q9NZV8	3751
Q9P0X4	8911
Q9UBK8	4552
Q9UBL9	22953
Q9UBN1	27092
Q9UBN7	10013
Q9UBS5	2550
Q9UBV8	553115
Q9UDR5	10157
Q9UDX3	284904
Q9UDX4	266629
Q9UEW3	8685
Q9UF02	27091
Q9UGI6	3782
Q9UGI9	53632
Q9UGJ0	51422
Q9UGM1	55584
Q9UGM6	10352
Q9UGN5	10038
Q9UHC9	29881
Q9UHF0	6866
Q9UHI5	23428
Q9UHW9	9990
Q9UI12	51606
Q9UI32	27165
Q9UI33	11280
Q9UIX4	3755
Q9UJ90	23630
Q9UJ96	26251
Q9UJT0	51175
Q9UJT1	51174
Q9UJU2	51176
Q9UK17	3752
Q9UKG9	54677
Q9UKV0	9734
Q9UL51	610
Q9ULA0	23549
Q9ULB1	9378
Q9ULD8	23416
Q9ULU8	8618
Q9ULX7	23632
Q9UM01	9056
Q9UM07	23569
Q9UM73	238
Q9UN88	55879
Q9UNX9	3770
Q9UP95	6560
Q9UPY5	23657
Q9UQ05	23415
Q9UQD0	6334
Q9UQL6	10014
Q9UQQ2	10019
Q9Y233	10846
Q9Y234	51601
Q9Y257	9424
Q9Y271	10800
Q9Y285	2193
Q9Y289	8884
Q9Y2D0	11238
Q9Y2D1	22809
Q9Y2I1	11188
Q9Y2T6	9290
Q9Y2U5	10746
Q9Y3R4	4759
Q9Y478	5564
Q9Y487	23545
Q9Y4R7	26140
Q9Y4U1	25974
Q9Y5K3	9468
Q9Y5K8	51382
Q9Y5N1	11255
Q9Y5S1	51393
Q9Y5Y4	11251
Q9Y5Y9	6336
Q9Y617	29968
Q9Y646	10404
Q9Y666	10723
Q9Y691	10242
Q9Y694	10864
Q9Y698	10369
Q9Y6F1	10039
Q9Y6H6	10008
Q9Y6J6	9992
Q9Y6K1	1788
Q9Y6L6	10599
Q9Y6Y9	23643
